Year, 0-4, 5-9, 10-19, 20-99, 100-499, 500+
2007,59195,34220,21438,27941,31925,42823
2008,58196,35538,22231,22736,32667,41643
2009,56875,40054,24308,28181,31994,43592
2010,57035,48916,27057,30395,33417,62502
2011,55691,48704,24637,27540,42771,48940
2012,54396,45388,25582,27126,32255,52415
2013,52916,56995,26190,26741,33171,51356
2014,51306,49473,24168,26133,32803,46592
2015,49585,59674,24967,26605,32582,49220
2016,46804,49963,22816,26005,30702,46060
